Time,p1_life,p1_redlife,p1_combocount,p1_hitfall,p1_decisiveround,p1_attack,p1_attackmul,p1_dizzypoints,p1_dizzypointsmax,p1_fighttime,p1_defence,p1_defencemul,p1_receiveddamage,p1_receivedhits,p1_hitcount,p1_roundsexisted,p1_roundswon,p1_roundno,p1_power,p1_powermax,p1_score,p1_scoretotal,p1_timeremaining,p1_timeelapsed,p1_movecountered,p2_life,p2_redlife,p2_combocount,p2_hitfall,p2_decisiveround,p2_attack,p2_attackmul,p2_dizzypoints,p2_dizzypointsmax,p2_fighttime,p2_defence,p2_defencemul,p2_receiveddamage,p2_receivedhits,p2_hitcount,p2_roundsexisted,p2_roundswon,p2_roundno,p2_power,p2_powermax,p2_score,p2_scoretotal,p2_timeremaining,p2_timeelapsed,p2_movecountered,a_apply_attack_mul_p1,a_apply_attack_mul_p2
1777232676,1000,1000,0,false,false,90,0.8999999761581421,1000,1000,200,100,1,0,0,0,0,0,1,0,3000,0,0,5927,13,0,1000,1000,0,false,false,90,0.8999999761581421,1000,1000,200,100,1,0,0,0,0,0,1,0,3000,0,0,5927,13,0,0,-1
1777232677,928,946,0,true,false,90,0.8999999761581421,1000,1000,220,150,1.5,72,1,0,0,0,1,43,3000,0,0,5907,33,0,928,946,0,true,false,90,0.8999999761581421,1000,1000,220,150,1.5,72,1,0,0,0,1,43,3000,0,0,5907,33,0,1,0
1777232677,928,946,0,true,false,90,0.8999999761581421,1000,1000,240,150,1.5,72,1,0,0,0,1,43,3000,0,0,5887,53,0,928,946,0,true,false,90,0.8999999761581421,1000,1000,240,150,1.5,72,1,0,0,0,1,43,3000,0,0,5887,53,0,0,0
1777232677,928,946,0,true,false,79.99999237060547,0.7999999523162842,1000,1000,260,150,1.5,72,1,0,0,0,1,43,3000,0,0,5867,73,0,928,946,0,true,false,79.99999237060547,0.7999999523162842,1000,1000,260,150,1.5,72,1,0,0,0,1,43,3000,0,0,5867,73,0,0,-1
1777232678,928,946,0,false,false,79.99999237060547,0.7999999523162842,1000,1000,280,100,1,0,0,0,0,0,1,43,3000,0,0,5847,93,0,928,946,0,false,false,79.99999237060547,0.7999999523162842,1000,1000,280,100,1,0,0,0,0,0,1,43,3000,0,0,5847,93,0,0,0
1777232678,903,929,0,false,false,90,0.8999999761581421,1000,1000,300,100,1,25,1,0,0,0,1,56,3000,0,0,5827,113,0,903,929,0,false,false,90,0.8999999761581421,1000,1000,300,100,1,25,1,0,0,0,1,56,3000,0,0,5827,113,0,0,1
1777232678,903,929,0,false,false,90,0.8999999761581421,1000,1000,320,100,1,0,0,0,0,0,1,56,3000,0,0,5807,133,0,903,929,0,false,false,90,0.8999999761581421,1000,1000,320,100,1,0,0,0,0,0,1,56,3000,0,0,5807,133,0,-1,0
1777232679,880,912,1,false,false,90,0.8999999761581421,1000,1000,340,100,1,23,1,0,0,0,1,95,3000,300,300,5787,153,0,880,912,1,false,false,90,0.8999999761581421,1000,1000,340,100,1,23,1,0,0,0,1,95,3000,300,300,5787,153,0,0,0
1777232679,880,912,0,false,false,90,0.8999999761581421,1000,1000,360,100,1,0,0,0,0,0,1,95,3000,300,300,5767,173,0,880,912,0,false,false,90,0.8999999761581421,1000,1000,360,100,1,0,0,0,0,0,1,95,3000,300,300,5767,173,0,-1,0
1777232679,859,895,1,false,false,79.99999237060547,0.7999999523162842,1000,1000,380,100,1,21,1,0,0,0,1,134,3000,600,600,5747,193,0,859,895,1,false,false,79.99999237060547,0.7999999523162842,1000,1000,380,100,1,21,1,0,0,0,1,134,3000,600,600,5747,193,0,0,-1
